id,lot,occupied,isEnabled
0,b25a3,false,false
1,b25a3,false,true
2,b25a3,false,false
3,b25a3,true,true
4,b25a3,false,true
5,b25a3,true,true
6,b25a3,true,true
7,b25a3,false,false
8,b25a3,true,false
9,b25a3,true,false
10,b25a3,true,false
11,b25a3,true,false
12,b25a3,false,true
13,b25a3,false,false
14,b25a3,true,false
15,b25a3,true,true
16,b25a3,true,true
17,b25a3,false,false
18,b25a3,true,false
19,b25a3,true,true
20,b25a3,false,true
21,b25a3,false,false
22,b25a3,false,false
23,b25a3,true,false
24,b25a3,true,false
25,b25a3,false,true
26,b25a3,true,true
27,b25a3,false,false
28,b25a3,true,false
29,b25a3,true,true
30,b25a3,true,false
31,b25a3,true,true
32,b25a3,true,true
33,b25a3,false,false
34,b25a3,true,false
35,b25a3,true,false
36,b25a3,true,false
37,b25a3,false,true
38,b25a3,false,false
39,b25a3,true,true
40,b25a3,true,true
41,b25a3,true,true
42,b25a3,false,true
43,b25a3,true,true
44,b25a3,true,true
45,b25a3,true,true
46,b25a3,true,true
47,b25a3,true,false
48,b25a3,false,true
49,b25a3,true,true
50,b25a3,false,false
51,b25a3,false,false
52,b25a3,true,true
53,b25a3,true,true
54,b25a3,true,true
55,b25a3,true,false
56,b25a3,true,false
57,b25a3,false,false
58,b25a3,false,true
59,b25a3,false,true
60,b25a3,true,true
61,b25a3,false,false
62,b25a3,false,false
63,b25a3,false,false
64,b25a3,false,false
65,b25a3,false,true
66,b25a3,false,false
67,b25a3,false,true
68,b25a3,false,false
69,b25a3,true,false
70,b25a3,true,true
71,b25a3,true,false
72,b25a3,false,false
73,b25a3,true,true
74,b25a3,false,true
75,b25a3,false,true
76,b25a3,true,false
77,b25a3,false,true
78,b25a3,true,false
79,b25a3,false,true
80,b25a3,false,false
81,b25a3,true,true
82,b25a3,true,false
83,b25a3,false,false
84,b25a3,false,false
85,b25a3,false,true
86,b25a3,true,true
87,b25a3,true,false
88,b25a3,false,true
89,b25a3,true,false
90,b25a3,true,true
91,b25a3,true,false
92,b25a3,false,false
93,b25a3,true,true
94,b25a3,true,true
95,b25a3,false,true
96,b25a3,false,false
97,b25a3,false,false
98,b25a3,true,true
99,b25a3,false,true
0,b25a5,false,false
1,b25a5,false,true
2,b25a5,false,false
3,b25a5,true,true
4,b25a5,false,true
5,b25a5,true,true
6,b25a5,true,true
7,b25a5,false,false
8,b25a5,true,false
9,b25a5,true,false
10,b25a5,true,false
11,b25a5,true,false
12,b25a5,false,true
13,b25a5,false,false
14,b25a5,true,false
15,b25a5,true,true
16,b25a5,true,true
17,b25a5,false,false
18,b25a5,true,false
19,b25a5,true,true
20,b25a5,false,true
21,b25a5,false,false
22,b25a5,false,false
23,b25a5,true,false
24,b25a5,true,false
25,b25a5,false,true
26,b25a5,true,true
27,b25a5,false,false
28,b25a5,true,false
29,b25a5,true,true
30,b25a5,true,false
31,b25a5,true,true
32,b25a5,true,true
33,b25a5,false,false
34,b25a5,true,false
35,b25a5,true,false
36,b25a5,true,false
37,b25a5,false,true
38,b25a5,false,false
39,b25a5,true,true
40,b25a5,true,true
41,b25a5,true,true
42,b25a5,false,true
43,b25a5,true,true
44,b25a5,true,true
45,b25a5,true,true
46,b25a5,true,true
47,b25a5,true,false
48,b25a5,false,true
49,b25a5,true,true
50,b25a5,false,false
51,b25a5,false,false
52,b25a5,true,true
53,b25a5,true,true
54,b25a5,true,true
55,b25a5,true,false
56,b25a5,true,false
57,b25a5,false,false
58,b25a5,false,true
59,b25a5,false,true
60,b25a5,true,true
61,b25a5,false,false
62,b25a5,false,false
63,b25a5,false,false
64,b25a5,false,false
65,b25a5,false,true
66,b25a5,false,false
67,b25a5,false,true
68,b25a5,false,false
69,b25a5,true,false
70,b25a5,true,true
71,b25a5,true,false
72,b25a5,false,false
73,b25a5,true,true
74,b25a5,false,true
75,b25a5,false,true
76,b25a5,true,false
77,b25a5,false,true
78,b25a5,true,false
79,b25a5,false,true
80,b25a5,false,false
81,b25a5,true,true
82,b25a5,true,false
83,b25a5,false,false
84,b25a5,false,false
85,b25a5,false,true
86,b25a5,true,true
87,b25a5,true,false
88,b25a5,false,true
89,b25a5,true,false
90,b25a5,true,true
91,b25a5,true,false
92,b25a5,false,false
93,b25a5,true,true
94,b25a5,true,true
95,b25a5,false,true
96,b25a5,false,false
97,b25a5,false,false
98,b25a5,true,true
99,b25a5,false,true
0,44551,false,true
1,44551,false,true
2,44551,false,true
3,44551,false,true
4,44551,false,true
5,44551,false,true
6,44551,false,true
7,44551,false,true
8,44551,false,true
9,44551,false,true
10,44551,false,true
11,44551,false,true
12,44551,false,true
13,44551,false,true
14,44551,false,true
15,44551,false,true
16,44551,false,true
17,44551,false,true
18,44551,false,true
19,44551,false,true
20,44551,false,true
21,44551,false,true
22,44551,false,true
23,44551,false,true
24,44551,false,true
25,44551,false,true
26,44551,false,true
27,44551,false,true
28,44551,false,true
29,44551,false,true
30,44551,false,true
31,44551,false,true
32,44551,false,true
33,44551,false,true
34,44551,false,true
35,44551,false,true
36,44551,false,true
37,44551,false,true
38,44551,false,true
39,44551,false,true
40,44551,false,true
41,44551,false,true
42,44551,false,true
43,44551,false,true
44,44551,false,true
45,44551,false,true
46,44551,false,true
47,44551,false,true
48,44551,false,true
49,44551,false,true
50,44551,false,true
51,44551,false,true
52,44551,false,true
53,44551,false,true
54,44551,false,true
55,44551,false,true
56,44551,false,true
57,44551,false,true
58,44551,false,true
59,44551,false,true
60,44551,false,true
61,44551,false,true
62,44551,false,true
63,44551,false,true
64,44551,false,true
65,44551,false,true
66,44551,false,true
67,44551,false,true
68,44551,false,true
69,44551,false,true
70,44551,false,true
71,44551,false,true
72,44551,false,true
73,44551,false,true
74,44551,false,true
75,44551,false,true
76,44551,false,true
77,44551,false,true
78,44551,false,true
79,44551,false,true
80,44551,false,true
81,44551,false,true
82,44551,false,true
83,44551,false,true
84,44551,false,true
85,44551,false,true
86,44551,false,true
87,44551,false,true
88,44551,false,true
89,44551,false,true
90,44551,false,true
91,44551,false,true
92,44551,false,true
93,44551,false,true
94,44551,false,true
95,44551,false,true
96,44551,false,true
97,44551,false,true
98,44551,false,true
99,44551,false,true
